,date,year,month,day,area,place,title
180,2016/4/6,2016,4,6,Africa, 盧安達,美無人機將在盧安達配送醫療物資 
181,2016/3/31,2016,3,31,Africa, 烏干達,非洲成為以色列結盟新對象 
182,2016/3/30,2016,3,30,Africa, 賴比瑞亞,「世衛組織」：「伊波拉」緊急狀態解除 
183,2016/3/30,2016,3,30,Africa, 埃及,「埃及航空」劫機案和平落幕，無人傷亡 
184,2016/3/29,2016,3,29,Africa, 奈及利亞,約2/3非洲國家向中國大陸採購武器 
185,2016/3/29,2016,3,29,Africa, 吉布地,吉布地將出現首座中國大陸海外軍事基地 
186,2016/3/28,2016,3,28,Africa, 衣索比亞,衣索比亞面臨數十年來最嚴重乾旱 
187,2016/3/25,2016,3,25,Africa, 剛果,剛果總統大選，現任總統獲得連任 
188,2016/3/24,2016,3,24,Africa, 塞內加爾,塞內加爾修憲公投，逾6成民眾支持縮短總統任期 
189,2016/3/23,2016,3,23,Africa, 尼日,尼日總統大選結果出爐，現任總統獲壓倒性勝利 
190,2016/3/22,2016,3,22,Africa, 貝南,棉花大王塔隆當選貝南總統 
191,2016/3/21,2016,3,21,Africa, 塞內加爾,塞內加爾舉行修憲公投，縮短總統任期 
192,2016/3/21,2016,3,21,Africa, 尼日,尼日總統大選，現任總統可望連任 
193,2016/3/18,2016,3,18,Africa, 喀麥隆,「博科聖地」武裝分子遭喀麥隆軍事法院判處死刑 
194,2016/3/17,2016,3,17,Africa, 奈及利亞,奈及利亞參議院否決性別平等法草案，引發大眾譴責 
195,2016/3/17,2016,3,17,Africa, 摩洛哥,潘基文發言惹議，摩洛哥退出西薩哈拉維和行動 
196,2016/3/16,2016,3,16,Africa, 布吉納法索,因應恐攻，法國擬在布吉納法索部署武警部隊 
197,2016/3/16,2016,3,16,Africa, 辛巴威,辛巴威糧荒，兒童嚴重營養不良 
198,2016/3/15,2016,3,15,Africa, 蒲隆地,歐盟暫停對蒲隆地之直接援助 
199,2016/3/14,2016,3,14,Africa, 象牙海岸,象牙海岸度假城鎮恐攻釀16死，蓋達分支坦承犯案 
200,2016/3/10,2016,3,10,Africa, 索馬利亞,聯合國糧農組織：非洲27國面臨飢荒 
201,2016/3/8,2016,3,8,Africa, 突尼西亞,突尼西亞邊城遭IS聖戰士襲擊 
202,2016/3/8,2016,3,8,Africa, 索馬利亞,美軍對索馬利亞激進組織「青年黨」發動空襲 
203,2016/3/7,2016,3,7,Africa, 貝南,西非貝南舉行總統大選 
