,title,date,place
97,「國際特赦組織」：甘比亞應停止鎮壓異議人士 ,2016.06.03, 甘比亞
98,法國向埃及交付2艘「西北風級」航母 ,2016.06.03, 埃及
99,索馬利亞首都飯店遭炸彈攻擊，至少15死 ,2016.06.02, 索馬利亞
100,查德前獨裁者犯下違反人道罪，判終身監禁 ,2016.05.31, 塞內加爾
101,地中海船難頻傳，約700名移民罹難 ,2016.05.30, 利比亞
102,南非通過土地徵收法案 ,2016.05.27, 南非
103,重創觀光業，突尼西亞呼籲英國政府解除旅遊警告 ,2016.05.25, 突尼西亞
104,肯亞反對黨抗議行動，傳至少1人喪生 ,2016.05.24, 肯亞
105,利比亞攔截850名試圖搭船進入歐洲的非法移民 ,2016.05.23, 利比亞
106,「埃及航空」MS804航班失聯前曾兩度急轉彎 ,2016.05.20, 埃及
107,剛果反對黨總統候選人遭起訴 ,2016.05.20, 剛果
108,奈及利亞女學生綁架案，再救出1人 ,2016.05.20, 奈及利亞
109,「埃及航空」MS804航班失聯 ,2016.05.19, 埃及
110,肯亞警察毒打抗議民眾，引發國際撻伐聲浪 ,2016.05.18, 肯亞
111,協商破裂，奈及利亞工會18日將發動罷工 ,2016.05.18, 奈及利亞
112,對抗IS，列強擬提供武器給利比亞政府 ,2016.05.17, 利比亞
113,奈及利亞調漲油價67%，工會揚言全國大罷工 ,2016.05.17, 奈及利亞
114,打擊貪腐，坦尚尼亞剷除萬名「幽靈公務員」 ,2016.05.17, 坦尚尼亞
115,對抗「博科聖地」，法國與奈及利亞同意加強軍事合作 ,2016.05.16, 奈及利亞
116,不滿政府割島，埃及逾百名抗議民眾遭法院重判 ,2016.05.16, 埃及
117,烏干達總統就職典禮，西方各國代表離席抗議 ,2016.05.13, 烏干達
118,烏干達總統就職前夕，警方逮捕反對黨領袖 ,2016.05.12, 烏干達
119,衣索匹亞暴雨引發土石流，奪走數十條人命 ,2016.05.12, 衣索匹亞
120,肯亞警方動用催淚瓦斯驅離抗議民眾 ,2016.05.10, 肯亞
121,盧安達大雨引發土石流，至少53死 ,2016.05.10, 盧安達
122,肯亞擬關閉國內所有難民營，60萬人將流離失所 ,2016.05.09, 肯亞
123,埃及8名警察遇襲身亡，「伊斯蘭國」坦承犯案 ,2016.05.09, 埃及
124,美國有意出售輕型攻擊機，助奈及利亞圍剿激進組織「博科聖地」 ,2016.05.06, 奈及利亞
125,前任政府涉武器採購弊案，奈國損失約150億美元 ,2016.05.04, 奈及利亞
126,遭逢嚴重乾旱，辛巴威出售野生動物 ,2016.05.04, 辛巴威
127,IMF：撒哈拉以南非洲經濟成長將創16年來新低 ,2016.05.03, 肯亞
128,2名記者遭逮捕，埃及記者協會發動抗議 ,2016.05.03, 埃及
129,埃及警方阻止勞工紀念國際勞動節 ,2016.05.02, 埃及
130,肯亞銷毀大量象牙，展現保護非洲象之決心 ,2016.05.02, 肯亞
131,英國暫緩向莫三比克提供金援 ,2016.04.29, 莫三比克
132,「歐盟」將與奈及利亞就遣返經濟移民展開協商 ,2016.04.28, 奈及利亞
133,南蘇丹叛軍領袖重返首都擔任副總統 ,2016.04.27, 南蘇丹
134,面對抗議聲浪，埃及總統呼籲人民捍衛國家 ,2016.04.25, 埃及
135,蘇丹達佛公投出爐，將維持5個省的行政狀態 ,2016.04.25, 蘇丹
136,南非總統公布軍售弊案調查報告，證明自己清白 ,2016.04.22, 南非
137,查德公布總統大選結果，現任總統德比5度連任 ,2016.04.22, 查德
138,南蘇丹交戰雙方達成共識，叛軍領袖將返國共組團結政府 ,2016.04.21, 南蘇丹
139,尚比亞首都發生排外暴動，逾250人被捕 ,2016.04.20, 尚比亞
140,南蘇丹和平協議遲未落實，聯合國表達關切 ,2016.04.20, 南蘇丹
141,紅十字國際委員會：3名工作人員在馬利北部失聯 ,2016.04.19, 馬利
142,衣索比亞軍隊試圖搶救遭南蘇丹穆勒族挾持之孩童 ,2016.04.19, 衣索比亞
143,德法外長共同出訪利比亞，展現對新政府之支持立場 ,2016.04.18, 利比亞
144,衣索比亞：南蘇丹武裝分子在邊界地區殺害140人 ,2016.04.18, 衣索比亞
145,迦納政府文件示警：伊斯蘭武裝分子鎖定迦納與鄰國多哥 ,2016.04.15, 迦納
146,蘇丹達佛完成公投，叛軍指控政府操縱投票 ,2016.04.14, 蘇丹
147,激進組織「博科聖地」釋影片，證明遭綁架女學生中仍有存活者 ,2016.04.14, 奈及利亞
148,聯合國：「博科聖地」利用更多孩童發動自殺炸彈攻擊 ,2016.04.13, 奈及利亞
149,土耳其貨輪在奈及利亞外海遭海盜攻擊，6名船員遭挾持 ,2016.04.12, 奈及利亞
150,蘇丹達佛地區將就其行政地位舉行公投 ,2016.04.11, 蘇丹
151,肯亞總統籲德國擴大對非洲投資 ,2016.04.08, 肯亞
152,西非「拉薩熱」疫情已致164死 ,2016.04.07, 奈及利亞
153,美無人機將在盧安達配送醫療物資 ,2016.04.06, 盧安達
154,非洲成為以色列結盟新對象 ,2016.03.31, 烏干達
155,「世衛組織」：「伊波拉」緊急狀態解除 ,2016.03.30, 賴比瑞亞
156,「埃及航空」劫機案和平落幕，無人傷亡 ,2016.03.30, 埃及
157,約2/3非洲國家向中國大陸採購武器 ,2016.03.29, 奈及利亞
158,吉布地將出現首座中國大陸海外軍事基地 ,2016.03.29, 吉布地
159,衣索比亞面臨數十年來最嚴重乾旱 ,2016.03.28, 衣索比亞
160,剛果總統大選，現任總統獲得連任 ,2016.03.25, 剛果
161,塞內加爾修憲公投，逾6成民眾支持縮短總統任期 ,2016.03.24, 塞內加爾
162,尼日總統大選結果出爐，現任總統獲壓倒性勝利 ,2016.03.23, 尼日
163,棉花大王塔隆當選貝南總統 ,2016.03.22, 貝南
164,塞內加爾舉行修憲公投，縮短總統任期 ,2016.03.21, 塞內加爾
165,尼日總統大選，現任總統可望連任 ,2016.03.21, 尼日
166,「博科聖地」武裝分子遭喀麥隆軍事法院判處死刑 ,2016.03.18, 喀麥隆
167,奈及利亞參議院否決性別平等法草案，引發大眾譴責 ,2016.03.17, 奈及利亞
168,潘基文發言惹議，摩洛哥退出西薩哈拉維和行動 ,2016.03.17, 摩洛哥
169,因應恐攻，法國擬在布吉納法索部署武警部隊 ,2016.03.16, 布吉納法索
170,辛巴威糧荒，兒童嚴重營養不良 ,2016.03.16, 辛巴威
171,歐盟暫停對蒲隆地之直接援助 ,2016.03.15, 蒲隆地
172,象牙海岸度假城鎮恐攻釀16死，蓋達分支坦承犯案 ,2016.03.14, 象牙海岸
173,聯合國糧農組織：非洲27國面臨飢荒 ,2016.03.10, 索馬利亞
174,突尼西亞邊城遭IS聖戰士襲擊 ,2016.03.08, 突尼西亞
175,美軍對索馬利亞激進組織「青年黨」發動空襲 ,2016.03.08, 索馬利亞
176,西非貝南舉行總統大選 ,2016.03.07, 貝南
177,與以色列大使共進晚餐惹議，埃及議員遭國會除名 ,2016.03.03, 埃及
178,南蘇丹加入「東非共同體」成為第六個成員國 ,2016.03.03, 坦尚尼亞
179,索馬利亞連環爆炸案，激進組織「青年黨」坦承犯案 ,2016.03.01, 索馬利亞
180,辛巴威總統豪擲80萬美元辦生日趴，引發外界抨擊 ,2016.03.01, 辛巴威
181,人權組織：蒲隆地維安部隊攻擊平民 ,2016.02.26, 蒲隆地
182,"潘基文：蒲隆地總統承諾釋放2,000人 ",2016.02.24, 蒲隆地
183,「人權觀察」：衣索比亞政府鎮壓示威民眾 ,2016.02.23, 衣索比亞
184,中非共和國大選結果出爐，新總統將面臨嚴峻挑戰 ,2016.02.22, 中非共和國
185,尼日舉行總統與國會選舉 ,2016.02.22, 尼日
186,烏干達大選狀況頻傳，在野候選人再度被捕 ,2016.02.19, 烏干達
187,奈軍自「博科聖地」救出195名人質 ,2016.02.19, 奈及利亞
188,烏干達大選，現任總統尋求第5任期 ,2016.02.18, 烏干達
189,選舉承諾跳票，塞內加爾總統將做滿7年任期 ,2016.02.17, 塞內加爾
190,烏干達總統大選前夕，總統候選人一度被捕 ,2016.02.16, 烏干達
191,安哥拉爆發「黃熱病」疫情 ,2016.02.16, 安哥拉
192,中非共和國進行第二輪總統大選 ,2016.02.15, 中非共和國
193,奈國2村落遭「博科聖地」攻擊，30人喪生 ,2016.02.15, 奈及利亞
